SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
Lost,2,5,Untitled Episode,Unknown
Lost,2,5,Untitled Episode,2005-10-10
Lost,0,5,The Hatch,2005-10-19
Lost,2,5,The Hatch,Unknown
Lost,2,5,The Hatch,not a date
Lost,2,0,The Hatch,2005-10-19
Lost,2,5,   The Hatch   ,2005-10-19
Lost,2,5,the hatch,2005-10-19
Lost,2,5,The Hatch,2005-10-19
Lost,2,5,The Hatch,2005-10-19
Lost,2,0,Untitled Episode,Unknown
Lost,0,0,Untitled Episode,Unknown
Lost,-1,5,The Hatch,2005-10-19
Lost,2,-3,The Hatch,2005-10-19
Lost,abc,5,The Hatch,2005-10-19
Lost,2,xyz,The Hatch,2005-10-19
Breaking Bad,2,3,Bit by a Dead Bee,2009-03-22
Breaking Bad,2,3,Bit By A Dead Bee,Unknown
Breaking Bad,0,3,Bit by a Dead Bee,2009-03-22
Breaking Bad,2,0,Bit by a Dead Bee,2009-03-22
Breaking Bad,2,3,  Bit by a Dead Bee  ,2009-03-22
Breaking Bad,2,3,Bit by a Dead Bee,2009-03-22
Breaking Bad,2,3,Untitled Episode,Unknown
Breaking Bad,0,0,Untitled Episode,Unknown
Breaking Bad,-2,3,Bit by a Dead Bee,2009-03-22
Breaking Bad,2,-7,Bit by a Dead Bee,2009-03-22
Game of Thrones,1,1,Winter Is Coming,2011-04-17
Game of Thrones,1,1,Winter Is Coming,2011-04-17
Game of Thrones,1,2,The Kingsroad,2011-04-24
Game of Thrones,1,2,The Kingsroad,0000-00-00
Game of Thrones,0,2,The Kingsroad,2011-04-24
Game of Thrones,1,0,The Kingsroad,2011-04-24
Game of Thrones,1,2, the kingsroad ,2011-04-24
Game of Thrones,1,2,Untitled Episode,Unknown
Game of Thrones,0,0,Untitled Episode,Unknown
The Office,3,15,Phyllis's Wedding,2007-02-08
The Office,3,15,Phyllis's Wedding,Unknown
The Office,3,15,Untitled Episode,Unknown
The Office,3,0,Phyllis's Wedding,2007-02-08
The Office,0,15,Phyllis's Wedding,2007-02-08
The Office,3,15, phyllis's wedding ,2007-02-08
The Office,3,15,Phyllis's Wedding,2007-02-08
The Office,0,0,Untitled Episode,Unknown
Dark,1,1,Secrets,2017-12-01
Dark,1,1,Secrets,2017-12-01
Dark,1,1,SECRETS,Unknown
Dark,0,1,Secrets,2017-12-01
Dark,1,0,Secrets,2017-12-01
Dark,1,1,  Secrets  ,2017-12-01
Dark,1,1,Untitled Episode,Unknown
Dark,0,0,Untitled Episode,Unknown
Friends,5,14,The One Where Everybody Finds Out,1999-02-11
Friends,5,14,The One Where Everybody Finds Out,1999-02-11
Friends,5,14,the one where everybody finds out,Unknown
Friends,0,14,The One Where Everybody Finds Out,1999-02-11
Friends,5,0,The One Where Everybody Finds Out,1999-02-11
Friends,5,14,   The One Where Everybody Finds Out   ,1999-02-11
Friends,5,14,Untitled Episode,Unknown
Friends,0,0,Untitled Episode,Unknown
Mr. Robot,1,1,eps1.0_hellofriend.mov,2015-06-24
Mr. Robot,1,1,eps1.0_hellofriend.mov,Unknown
Mr. Robot,0,1,eps1.0_hellofriend.mov,2015-06-24
Mr. Robot,1,0,eps1.0_hellofriend.mov,2015-06-24
Mr. Robot,1,1,EPS1.0_HELLOFRIEND.MOV,2015-06-24
Mr. Robot,1,1,Untitled Episode,Unknown
Mr. Robot,0,0,Untitled Episode,Unknown
Sherlock,2,1,A Scandal in Belgravia,2012-01-01
Sherlock,2,1,A Scandal in Belgravia,2012-01-01
Sherlock,0,1,A Scandal in Belgravia,2012-01-01
Sherlock,2,0,A Scandal in Belgravia,2012-01-01
Sherlock,2,1,a scandal in belgravia,Unknown
Sherlock,2,1,Untitled Episode,Unknown
Sherlock,0,0,Untitled Episode,Unknown
Westworld,1,1,The Original,2016-10-02
Westworld,1,1,The Original,2016-10-02
Westworld,0,1,The Original,2016-10-02
Westworld,1,0,The Original,2016-10-02
Westworld,1,1, the original ,Unknown
Westworld,1,1,Untitled Episode,Unknown
Westworld,0,0,Untitled Episode,Unknown
Severance,1,1,Good News About Hell,2022-02-18
Severance,1,1,Good News About Hell,Unknown
Severance,0,1,Good News About Hell,2022-02-18
Severance,1,0,Good News About Hell,2022-02-18
Severance,1,1,good news about hell,2022-02-18
Severance,1,1,Untitled Episode,Unknown
Severance,0,0,Untitled Episode,Unknown
Breaking Bad,3,10,Fly,2010-05-23
Breaking Bad,3,10,Fly,Unknown
