SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
Breaking Bad,1,1,Pilot,2008-01-20
Breaking Bad,1,1,Pilot,
Breaking Bad,1,2,Cat's in the Bag...,2008-01-27
     Breaking Bad,1,2,,2008-01-27
Breaking Bad,1,3,...And the Bag's in the River,2008-02-10
Breaking Bad,1,3,...And the Bag's in the River,
Breaking       Bad,1,,Cancer Man,2008-02-17
Breaking Bad,1,5,Gray Matter,2008-02-24
Breaking Bad,1,5,Gray Matter,
Breaking Bad,1,6,Crazy Handful of Nothin',2008-03-02
Breaking Bad    ,1,6,Crazy Handful of Nothin',2008-03-02
Breaking Bad,1,7,A No-Rough-Stuff-Type Deal,2008-03-09
Breaking Bad,1,7,,2008-03-09
BREAKING BAD,2,2,Untitled Episode,2020-02-12
Game of Thrones,1,1,Winter Is Coming,2011-04-17
Game of Thrones,1,1,Winter Is Coming,
Game of Thrones,1,2,The Kingsroad,2011-04-24
Game of Thrones,1,2,,2011-04-24
Game of Thrones,1,3,Lord Snow,2011-05-01
Game of Thrones,1,3,Lord Snow,
discarded,,,,
discarded with defaults,1,0,untitled episode,unknown
,1,1,discarded for no season,
GAME     OF       THRONES,,4,Cripples Bastards and Broken Things,2011-05-08
